first-stage tube temperature (Tt) ,high-temperature fan speed (Sf),temperature (Tf) in the pre-calciner,kiln tail air pressure (Pk),kiln motor current (Ik),kiln tail temperature (Tk),secondary air temperature feedback (Ta),second chamber grate pressure (Pg),EP fan speed (Sa)
0.503762219,0.438260178,0.498958912,0.440048526,0.448498006,0.264440656,0.451598286,0.710084052,0.496277309
0.519449217,0.438229877,0.483038808,0.439220435,0.436985405,0.268344939,0.46748796,0.708281792,0.494011021
0.542340777,0.438448478,0.478151747,0.433645577,0.430945708,0.272908434,0.48578626,0.709864063,0.504684357
0.552001102,0.438260178,0.478522301,0.430400224,0.437746296,0.27399858,0.491453772,0.711298301,0.509455264
0.535950514,0.438229636,0.490124934,0.430037502,0.444854737,0.274733885,0.48422984,0.710672625,0.512959629
0.512531644,0.438297934,0.483731929,0.424638686,0.445631879,0.275215546,0.471370248,0.708760371,0.507954441
0.484531915,0.438312844,0.491514377,0.420265811,0.436612878,0.27470852,0.458478109,0.710084427,0.510739711
0.47441445,0.438328235,0.485731945,0.420353034,0.438507517,0.278371973,0.459149915,0.709422024,0.507391531
0.47536276,0.438403266,0.508535933,0.425453481,0.444190772,0.27911983,0.455464162,0.710488801,0.513525786
0.481228905,0.438184906,0.508589693,0.42961149,0.441891684,0.281591766,0.458953519,0.708870553,0.515753016
0.47745174,0.439306769,0.511205394,0.430363526,0.439414086,0.282073342,0.465784382,0.708649814,0.51663969
0.477094521,0.438229877,0.501328204,0.430025269,0.436289021,0.282149608,0.465685906,0.709275302,0.513880455
0.461554198,0.438237572,0.505269991,0.42993645,0.427723388,0.285787696,0.466964146,0.709201473,0.508088672
0.453205739,0.438230358,0.515632297,0.424863659,0.429634194,0.28724558,0.462557488,0.708686916,0.50867517
0.444066341,0.438441023,0.509808262,0.419101058,0.433066865,0.288982212,0.462344401,0.709054376,0.505755688
0.447250316,0.438154364,0.490571668,0.415168022,0.449825771,0.293963915,0.458674922,0.709937143,0.500518664
0.446263771,0.438275328,0.464344945,0.412297625,0.467944778,0.297018971,0.45670902,0.709532768,0.48952157
0.454684532,0.438380661,0.462193251,0.40756309,0.477320055,0.301595105,0.4504679,0.709753506,0.477642699
0.462720346,0.438161819,0.462622048,0.406610546,0.479700231,0.298286407,0.448174579,0.710452261,0.476476205
0.472270452,0.438169755,0.464859495,0.409204381,0.483278581,0.296030283,0.43895192,0.710010785,0.474143214
0.447332424,0.438342905,0.459612098,0.419025535,0.487278126,0.297095064,0.429974616,0.710304978,0.47405129
0.418228105,0.438282543,0.469019522,0.431391062,0.493900699,0.294559587,0.424552459,0.709679864,0.471333536
0.406328868,0.438214726,0.497808188,0.437829645,0.4785829,0.293532895,0.418458775,0.709900603,0.479523389
0.418410722,0.438358296,0.506412404,0.438581682,0.459200965,0.297259888,0.416427361,0.709753131,0.480721612
0.442561011,0.438342905,0.513567644,0.437303113,0.459686751,0.301227366,0.418082118,0.70967949,0.482432311
0.454279488,0.43819212,0.48721804,0.436589902,0.464269173,0.307717769,0.418098531,0.709753319,0.463160778
0.470927519,0.438425872,0.466269429,0.434460903,0.466730273,0.309898146,0.418426367,0.710525903,0.45314228
0.467075934,0.438169515,0.455109045,0.430901759,0.477077121,0.312737648,0.41803288,0.709091104,0.455134431
0.455489302,0.438373446,0.449237651,0.432154799,0.484023469,0.315209585,0.416607761,0.710967005,0.458961731
0.436366395,0.438312844,0.458060108,0.437579144,0.495795172,0.310937649,0.412758299,0.709569495,0.454699224
0.42889391,0.438343386,0.476875588,0.445709544,0.486727585,0.309974325,0.412381503,0.708245252,0.447220325
0.422048644,0.438320299,0.485330679,0.457260808,0.490241344,0.308909371,0.416984696,0.709496041,0.438368303
0.421972096,0.4383506,0.510279953,0.469738023,0.494840017,0.305081181,0.417508649,0.710010972,0.443429619
0.429260649,0.438342905,0.506334331,0.477605689,0.480574547,0.308808001,0.420358887,0.708355434,0.437885939
0.454089179,0.438290479,0.484798834,0.482791764,0.475619763,0.310253246,0.433152828,0.710157881,0.426612296
0.459171822,0.438184665,0.440391513,0.487815625,0.466957039,0.314284091,0.441949872,0.709569308,0.406641179
0.474883267,0.438169755,0.410623642,0.492526758,0.472850975,0.321129421,0.446913169,0.710709727,0.409994233
0.47707324,0.438259937,0.385360121,0.495595536,0.516019333,0.321167424,0.443981007,0.710452449,0.416999685
0.479421622,0.438169755,0.393338409,0.492224667,0.56114659,0.314296903,0.440262428,0.708870365,0.431296152
0.475161831,0.438154364,0.39493202,0.491260954,0.558539648,0.303471197,0.43752694,0.709164933,0.431997364
